,Time,Acc.
0,0.0,82.01000000000016
1,1.0,82.01150000000005
2,2.0,82.03340000000001
3,3.0,82.0935
4,4.0,81.97260000000001
5,5.0,81.95980000000002
6,6.0,81.6561
7,7.0,81.628
8,8.0,80.95389999999998
9,9.0,80.39030000000001
10,10.0,79.00409999999998
11,11.0,77.73080000000002
12,12.0,75.29990000000002
13,13.0,72.3181
14,14.0,66.59140000000001
15,15.0,62.1289
16,16.0,56.612899999999996
17,17.0,48.12449999999999
18,18.0,39.9727
19,19.0,35.336299999999994
20,20.0,31.2832
21,21.0,24.609199999999998
22,22.0,23.234099999999994
23,23.0,20.48340000000001
24,24.0,19.988999999999997
