,Time,error_rate
0,0.0,0.0
1,1.0,0.0
2,2.0,0.0
3,3.0,0.0
4,4.0,0.0
5,5.0,0.0502008032128514
6,6.0,0.12908777969018934
7,7.0,0.2259036144578313
8,8.0,0.3848728246318608
9,9.0,0.572289156626506
10,10.0,0.78039430449069
11,11.0,1.0416666666666665
12,12.0,1.3670064874884151
13,13.0,1.7641996557659207
14,14.0,2.218875502008032
15,15.0,2.720256024096386
16,16.0,3.277817150956768
17,17.0,3.890562248995984
18,18.0,4.557704502219404
19,19.0,5.256024096385542
20,20.0,6.0169248422260475
21,21.0,6.797645125958379
22,22.0,7.628339444735463
23,23.0,8.490210843373495
24,24.0,9.379518072289157
