,Time,Acc.
0,0.0,82.01000000000016
1,1.0,82.01960000000007
2,2.0,82.06509999999997
3,3.0,82.11339999999998
4,4.0,82.10519999999998
5,5.0,82.33120000000001
6,6.0,82.0395
7,7.0,81.92399999999999
8,8.0,81.5388
9,9.0,80.43639999999999
10,10.0,78.5024
11,11.0,75.78810000000003
12,12.0,70.34719999999999
13,13.0,62.293200000000006
14,14.0,51.2882
15,15.0,38.479200000000006
16,16.0,26.36309999999999
17,17.0,17.3857
18,18.0,12.492899999999999
19,19.0,10.984900000000005
20,20.0,10.420899999999996
21,21.0,10.4122
22,22.0,10.125499999999999
23,23.0,10.04
24,24.0,10.109300000000001
