,Time,Acc.
0,0.0,91.44999999999996
1,1.0,91.465
2,2.0,91.40089999999998
3,3.0,91.25429999999997
4,4.0,91.14460000000003
5,5.0,90.86679999999996
6,6.0,90.52140000000001
7,7.0,89.68140000000001
8,8.0,88.81209999999997
9,9.0,86.97170000000001
10,10.0,84.02419999999995
11,11.0,78.5414
12,12.0,71.03129999999999
13,13.0,59.65550000000001
14,14.0,47.20050000000001
15,15.0,34.269
16,16.0,25.501900000000006
17,17.0,20.138
18,18.0,15.658100000000006
19,19.0,13.329800000000002
20,20.0,12.397099999999996
21,21.0,11.3637
22,22.0,10.774599999999998
23,23.0,10.924800000000003
24,24.0,10.631699999999997
