,Time,error_rate
0,0.0,1.0280038506883758e-08
1,1.0,1.872705561772804e-05
2,2.0,8.347276041026296e-05
3,3.0,0.0003245867666376793
4,4.0,0.0013978801893522743
5,5.0,0.004033747225307608
6,6.0,0.008590870194643075
7,7.0,0.015158370887705558
8,8.0,0.023722731170235566
9,9.0,0.03425532834133579
10,10.0,0.04674516573225875
11,11.0,0.061207172203010723
12,12.0,0.07768147716207954
13,13.0,0.09623003925811958
14,14.0,0.11693300583889654
15,15.0,0.13988557472408622
16,16.0,0.1651955175889136
17,17.0,0.19298130432534732
18,18.0,0.22337070010197824
19,19.0,0.2564996980701858
20,20.0,0.29251166446064064
21,21.0,0.33155659464956905
22,22.0,0.3737904023863867
23,23.0,0.4193741867685518
24,24.0,0.4684734412090626
