,Time,Acc.
0,0.0,76.60999999999997
1,1.0,76.3844
2,2.0,75.0303
3,3.0,71.6246
4,4.0,61.16980000000001
5,5.0,44.5289
6,6.0,20.901899999999998
7,7.0,3.675
8,8.0,0.392
9,9.0,0.16339999999999996
10,10.0,0.11760000000000004
11,11.0,0.10880000000000004
12,12.0,0.10520000000000003
13,13.0,0.09680000000000004
14,14.0,0.09470000000000003
15,15.0,0.09840000000000003
16,16.0,0.10560000000000003
17,17.0,0.10190000000000003
18,18.0,0.09930000000000003
19,19.0,0.09960000000000004
20,20.0,0.10000000000000005
21,21.0,0.10070000000000004
22,22.0,0.10000000000000002
23,23.0,0.09870000000000004
24,24.0,0.10000000000000002
