,Time,Acc.
0,0.0,93.31000000000009
1,1.0,93.2725
2,2.0,92.06530000000002
3,3.0,88.36969999999998
4,4.0,80.07059999999997
5,5.0,63.81949999999997
6,6.0,43.56129999999999
7,7.0,22.872999999999998
8,8.0,14.273400000000008
9,9.0,11.613700000000001
10,10.0,10.622299999999997
11,11.0,10.559299999999999
12,12.0,10.422900000000002
13,13.0,10.236699999999999
14,14.0,10.1634
15,15.0,10.162799999999999
16,16.0,10.170500000000006
17,17.0,10.0825
18,18.0,10.089
19,19.0,10.064700000000004
20,20.0,10.0282
21,21.0,10.164099999999998
22,22.0,10.0167
23,23.0,10.105599999999995
24,24.0,10.113400000000002
