,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.65039999999998
2,2.0,90.6919
3,3.0,90.7276
4,4.0,90.70319999999998
5,5.0,90.55000000000004
6,6.0,90.31530000000001
7,7.0,89.80400000000003
8,8.0,89.33579999999998
9,9.0,88.36850000000003
10,10.0,86.8858
11,11.0,84.48630000000001
12,12.0,82.1997
13,13.0,76.44670000000002
14,14.0,70.52299999999997
15,15.0,62.45169999999999
16,16.0,49.7512
17,17.0,34.22550000000001
18,18.0,22.360899999999987
19,19.0,15.305000000000005
20,20.0,12.866999999999994
21,21.0,10.7875
22,22.0,10.101899999999999
23,23.0,10.0
24,24.0,10.0
