,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.65129999999995
2,2.0,90.69109999999999
3,3.0,90.7158
4,4.0,90.69290000000001
5,5.0,90.6812
6,6.0,90.64760000000003
7,7.0,90.5
8,8.0,90.28329999999998
9,9.0,89.92559999999997
10,10.0,89.10689999999997
11,11.0,87.8265
12,12.0,86.0721
13,13.0,83.01299999999999
14,14.0,78.25269999999998
15,15.0,71.44179999999999
16,16.0,61.795100000000026
17,17.0,51.2154
18,18.0,39.75840000000001
19,19.0,29.04390000000002
20,20.0,22.928699999999996
21,21.0,18.504400000000004
22,22.0,15.9986
23,23.0,14.822799999999997
24,24.0,14.247799999999994
