,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.84530000000002
2,2.0,92.76450000000003
3,3.0,92.68360000000001
4,4.0,92.37529999999994
5,5.0,91.5897
6,6.0,89.79520000000004
7,7.0,86.66420000000002
8,8.0,82.72039999999997
9,9.0,75.09060000000001
10,10.0,65.88159999999999
11,11.0,52.062000000000005
12,12.0,38.71059999999999
13,13.0,25.868400000000005
14,14.0,17.156599999999994
15,15.0,12.814700000000006
16,16.0,11.5271
17,17.0,10.506099999999998
18,18.0,9.876800000000001
19,19.0,10.0021
20,20.0,10.036200000000001
21,21.0,10.1192
22,22.0,9.9984
23,23.0,10.0368
24,24.0,10.093200000000001
