,Time,Acc.
0,0.0,93.73999999999984
1,1.0,93.7617
2,2.0,93.69329999999997
3,3.0,93.46630000000003
4,4.0,93.24700000000001
5,5.0,92.63310000000001
6,6.0,91.352
7,7.0,89.21899999999998
8,8.0,85.21620000000001
9,9.0,76.0289
10,10.0,58.614600000000024
11,11.0,36.3955
12,12.0,21.462400000000002
13,13.0,15.171400000000007
14,14.0,12.295500000000002
15,15.0,11.435800000000002
16,16.0,11.5451
17,17.0,11.017800000000001
18,18.0,10.4593
19,19.0,10.437199999999997
20,20.0,10.1895
21,21.0,10.141300000000001
22,22.0,10.136199999999999
23,23.0,10.0627
24,24.0,10.0627
