,Time,error_rate
0,0.0,0.0
1,1.0,0.010415951238039756
2,2.0,0.04654595885916475
3,3.0,0.10620236279699426
4,4.0,0.19006887146943732
5,5.0,0.301621261256192
6,6.0,0.44591028587079834
7,7.0,0.6289212384452243
8,8.0,0.857275425287553
9,9.0,1.1377114944935096
10,10.0,1.4768553181588369
11,11.0,1.8806618849141168
12,12.0,2.3541179631501135
13,13.0,2.900964325876799
14,14.0,3.5233870342680316
15,15.0,4.221955077150444
16,16.0,4.995640864475156
17,17.0,5.8418741145349635
18,18.0,6.756712645871768
19,19.0,7.7351367375461635
20,20.0,8.771220967586164
21,21.0,9.8584387879831
22,22.0,10.989943410547518
23,23.0,12.158755198321643
24,24.0,13.357975246652206
