,Time,Acc.
0,0.0,93.31000000000009
1,1.0,93.3309
2,2.0,93.30200000000006
3,3.0,93.26299999999996
4,4.0,93.10409999999997
5,5.0,93.1031
6,6.0,92.9447
7,7.0,92.62240000000007
8,8.0,92.24629999999998
9,9.0,91.45219999999993
10,10.0,90.02319999999997
11,11.0,88.18539999999999
12,12.0,85.22370000000002
13,13.0,79.5925
14,14.0,69.48190000000001
15,15.0,54.818200000000004
16,16.0,35.5938
17,17.0,22.228399999999993
18,18.0,14.2642
19,19.0,11.687999999999999
20,20.0,10.700000000000003
21,21.0,10.200700000000001
22,22.0,10.053600000000001
23,23.0,10.103700000000002
24,24.0,10.0323
