,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.6477
2,2.0,90.65809999999998
3,3.0,90.6432
4,4.0,90.69999999999996
5,5.0,90.60210000000001
6,6.0,90.23099999999997
7,7.0,89.4142
8,8.0,87.05629999999998
9,9.0,82.1979
10,10.0,72.49240000000003
11,11.0,55.97929999999997
12,12.0,37.42640000000001
13,13.0,22.5137
14,14.0,14.862600000000004
15,15.0,11.603499999999999
16,16.0,11.024399999999998
17,17.0,11.260299999999997
18,18.0,11.106900000000001
19,19.0,10.893100000000004
20,20.0,10.6205
21,21.0,10.7859
22,22.0,10.621599999999999
23,23.0,10.4424
24,24.0,10.6597
