,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.71899999999998
2,2.0,92.2058
3,3.0,91.046
4,4.0,88.77420000000002
5,5.0,84.34509999999999
6,6.0,76.3112
7,7.0,59.05210000000001
8,8.0,35.519600000000025
9,9.0,18.813000000000002
10,10.0,13.056999999999999
11,11.0,10.910599999999999
12,12.0,10.0441
13,13.0,10.0481
14,14.0,10.017100000000001
15,15.0,10.0172
16,16.0,10.0447
17,17.0,10.023000000000001
18,18.0,10.029599999999999
19,19.0,10.025799999999998
20,20.0,10.0849
21,21.0,10.040700000000001
22,22.0,9.979099999999999
23,23.0,9.9894
24,24.0,9.9894
