,Time,error_pat,des_pat,Acc.
0,0,11,10,90.68000000000012
1,1,11,10,90.64939999999996
2,2,11,10,90.68960000000001
3,3,11,10,90.7413
4,4,11,10,90.77750000000002
5,5,11,10,90.78460000000001
6,6,11,10,90.80740000000003
7,7,11,10,90.41720000000005
8,8,11,10,89.44009999999997
9,9,11,10,87.7597
10,10,11,10,84.05909999999999
11,11,11,10,78.2893
12,12,11,10,66.69760000000001
13,13,11,10,51.338299999999975
14,14,11,10,34.459500000000006
15,15,11,10,22.405099999999994
16,16,11,10,16.93679999999999
17,17,11,10,14.531000000000006
18,18,11,10,13.128500000000006
19,19,11,10,11.933399999999999
20,20,11,10,11.064499999999999
21,21,11,10,10.332800000000002
22,22,11,10,9.980700000000002
23,23,11,10,9.783600000000002
24,24,11,10,9.630499999999998
