,Time,error_pat,des_pat,Acc.
0,0,11,01,92.85999999999994
1,1,11,01,92.82070000000004
2,2,11,01,92.66459999999998
3,3,11,01,92.42119999999997
4,4,11,01,92.02030000000002
5,5,11,01,91.4128
6,6,11,01,90.2175
7,7,11,01,87.65890000000002
8,8,11,01,82.9893
9,9,11,01,73.03880000000002
10,10,11,01,57.352799999999995
11,11,11,01,37.55650000000001
12,12,11,01,21.556900000000006
13,13,11,01,12.570000000000002
14,14,11,01,10.290299999999997
15,15,11,01,10.0381
16,16,11,01,10.047699999999999
17,17,11,01,10.0036
18,18,11,01,10.058200000000001
19,19,11,01,10.014
20,20,11,01,10.027000000000001
21,21,11,01,10.0
22,22,11,01,10.008299999999998
23,23,11,01,10.0295
24,24,11,01,10.0
