,Time,error_pat,des_pat,Acc.
0,0,11,00,90.68999999999988
1,1,11,00,90.67029999999998
2,2,11,00,90.65719999999999
3,3,11,00,90.6022
4,4,11,00,90.53470000000004
5,5,11,00,90.30619999999999
6,6,11,00,89.73950000000006
7,7,11,00,88.80860000000004
8,8,11,00,86.39560000000002
9,9,11,00,81.25539999999997
10,10,11,00,70.81159999999998
11,11,11,00,54.63089999999999
12,12,11,00,32.3132
13,13,11,00,19.4818
14,14,11,00,15.182400000000007
15,15,11,00,12.288999999999994
16,16,11,00,11.280199999999995
17,17,11,00,10.5298
18,18,11,00,10.211100000000002
19,19,11,00,10.110700000000001
20,20,11,00,10.004399999999999
21,21,11,00,10.0135
22,22,11,00,10.0102
23,23,11,00,10.001
24,24,11,00,10.0096
