,Time,error_pat,des_pat,Acc.
0,0,01,10,92.72999999999976
1,1,01,10,92.62179999999996
2,2,01,10,91.98570000000004
3,3,01,10,90.42859999999999
4,4,01,10,87.10609999999998
5,5,01,10,86.79079999999998
6,6,01,10,81.56520000000002
7,7,01,10,77.11600000000001
8,8,01,10,68.4882
9,9,01,10,60.9442
10,10,01,10,46.8212
11,11,01,10,38.060700000000004
12,12,01,10,31.39419999999999
13,13,01,10,25.68020000000001
14,14,01,10,20.140600000000003
15,15,01,10,15.991200000000003
16,16,01,10,15.896400000000005
17,17,01,10,12.9741
18,18,01,10,12.4072
19,19,01,10,11.583100000000002
20,20,01,10,11.3462
21,21,01,10,11.227099999999997
22,22,01,10,10.95
23,23,01,10,10.661899999999996
24,24,01,10,10.7534
