,Time,error_pat,des_pat,Acc.
0,0,00,10,92.72999999999976
1,1,00,10,87.17130000000002
2,2,00,10,62.8608
3,3,00,10,33.41
4,4,00,10,19.6997
5,5,00,10,12.419599999999996
6,6,00,10,10.493200000000002
7,7,00,10,9.879199999999999
8,8,00,10,9.908099999999997
9,9,00,10,9.8836
10,10,00,10,9.950999999999999
11,11,00,10,10.010600000000004
12,12,00,10,9.919000000000002
13,13,00,10,10.1505
14,14,00,10,9.841899999999999
15,15,00,10,9.8541
16,16,00,10,9.8606
17,17,00,10,9.9926
18,18,00,10,10.082100000000002
19,19,00,10,10.038799999999998
20,20,00,10,10.121600000000003
21,21,00,10,10.086300000000001
22,22,00,10,9.909099999999997
23,23,00,10,9.919799999999999
24,24,00,10,10.041999999999998
