,Time,error_pat,des_pat,Acc.
0,0,10,00,90.68000000000012
1,1,10,00,90.6138
2,2,10,00,89.93739999999998
3,3,10,00,87.64400000000002
4,4,10,00,78.62840000000001
5,5,10,00,56.65710000000001
6,6,10,00,24.662300000000013
7,7,10,00,13.678899999999992
8,8,10,00,10.5008
9,9,10,00,9.986399999999998
10,10,10,00,10.000499999999999
11,11,10,00,10.0
12,12,10,00,10.0
13,13,10,00,10.0
14,14,10,00,9.999400000000001
15,15,10,00,9.9923
16,16,10,00,9.995299999999997
17,17,10,00,9.996099999999998
18,18,10,00,9.9936
19,19,10,00,9.999400000000001
20,20,10,00,10.0
21,21,10,00,10.0
22,22,10,00,10.0
23,23,10,00,10.0
24,24,10,00,10.0
