,Time,Acc.
0,0.0,90.68999999999988
1,1.0,90.67859999999999
2,2.0,90.68449999999997
3,3.0,90.68669999999999
4,4.0,90.72139999999997
5,5.0,90.74349999999997
6,6.0,90.72020000000002
7,7.0,90.77189999999995
8,8.0,90.72900000000006
9,9.0,90.70380000000002
10,10.0,90.5688
11,11.0,90.2281
12,12.0,89.63879999999996
13,13.0,88.56870000000002
14,14.0,86.76739999999997
15,15.0,83.796
16,16.0,79.68039999999999
17,17.0,72.77199999999999
18,18.0,63.552500000000016
19,19.0,51.988
20,20.0,41.18000000000002
21,21.0,31.871399999999984
22,22.0,25.778700000000004
23,23.0,21.0306
24,24.0,17.60819999999999
