,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.8204
2,2.0,92.65149999999994
3,3.0,92.45900000000002
4,4.0,92.01599999999999
5,5.0,91.10940000000001
6,6.0,89.94650000000001
7,7.0,87.28689999999997
8,8.0,82.24089999999998
9,9.0,73.54059999999998
10,10.0,60.39300000000001
11,11.0,43.339199999999984
12,12.0,27.86210000000001
13,13.0,17.2977
14,14.0,13.068600000000004
15,15.0,11.4112
16,16.0,10.6371
17,17.0,10.461500000000001
18,18.0,10.2393
19,19.0,10.183199999999998
20,20.0,10.187199999999999
21,21.0,10.1298
22,22.0,10.1298
23,23.0,10.1298
24,24.0,10.1298
