,Time,error_pat,des_pat,Acc.
0,0,11,10,92.72999999999976
1,1,11,10,92.74819999999995
2,2,11,10,92.40190000000004
3,3,11,10,91.85080000000002
4,4,11,10,90.71260000000002
5,5,11,10,89.08259999999999
6,6,11,10,86.73629999999999
7,7,11,10,81.94090000000001
8,8,11,10,74.98349999999995
9,9,11,10,63.191900000000025
10,10,11,10,50.064699999999974
11,11,11,10,29.586799999999997
12,12,11,10,17.5409
13,13,11,10,12.698500000000001
14,14,11,10,10.9275
15,15,11,10,10.1831
16,16,11,10,10.261500000000002
17,17,11,10,10.0189
18,18,11,10,10.0149
19,19,11,10,10.0
20,20,11,10,10.0363
21,21,11,10,10.0
22,22,11,10,10.0
23,23,11,10,10.0
24,24,11,10,10.0
