,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.65779999999995
2,2.0,90.69350000000004
3,3.0,90.7201
4,4.0,90.62920000000003
5,5.0,90.54439999999998
6,6.0,90.25059999999999
7,7.0,89.8766
8,8.0,89.18799999999997
9,9.0,88.35539999999997
10,10.0,86.89389999999999
11,11.0,84.8312
12,12.0,81.29070000000002
13,13.0,77.09849999999997
14,14.0,70.131
15,15.0,60.95270000000001
16,16.0,49.97449999999997
17,17.0,35.137900000000016
18,18.0,21.555600000000005
19,19.0,16.172899999999988
20,20.0,12.811699999999998
21,21.0,10.765799999999999
22,22.0,10.0302
23,23.0,9.9999
24,24.0,10.0
