,Time,error_pat,des_pat,Acc.
0,0,11,01,90.68999999999988
1,1,11,01,90.6623
2,2,11,01,90.6744
3,3,11,01,90.58550000000005
4,4,11,01,90.53570000000002
5,5,11,01,90.29749999999999
6,6,11,01,89.83419999999998
7,7,11,01,88.89139999999998
8,8,11,01,86.55210000000005
9,9,11,01,81.75090000000003
10,10,11,01,71.9696
11,11,11,01,55.89079999999999
12,12,11,01,34.55749999999998
13,13,11,01,20.7354
14,14,11,01,14.961499999999994
15,15,11,01,12.838700000000001
16,16,11,01,11.4087
17,17,11,01,10.602599999999995
18,18,11,01,10.237
19,19,11,01,10.092000000000002
20,20,11,01,10.0611
21,21,11,01,9.9641
22,22,11,01,9.9794
23,23,11,01,9.9903
24,24,11,01,10.0
