,Time,Acc.
0,0.0,93.73999999999984
1,1.0,93.75209999999998
2,2.0,93.59670000000001
3,3.0,93.10050000000007
4,4.0,91.88600000000001
5,5.0,88.49480000000001
6,6.0,79.12970000000001
7,7.0,59.68540000000001
8,8.0,39.65
9,9.0,21.23790000000001
10,10.0,12.113099999999996
11,11.0,10.113099999999996
12,12.0,10.113099999999996
13,13.0,10.113099999999996
14,14.0,10.113099999999996
15,15.0,10.113099999999996
16,16.0,10.113099999999996
17,17.0,10.113099999999996
18,18.0,10.113099999999996
19,19.0,10.113099999999996
20,20.0,10.113099999999996
21,21.0,10.113099999999996
22,22.0,10.113099999999996
23,23.0,10.113099999999996
24,24.0,10.113099999999996
