,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.85450000000004
2,2.0,92.76909999999998
3,3.0,92.68129999999994
4,4.0,92.43139999999998
5,5.0,91.4534
6,6.0,89.9588
7,7.0,87.40630000000003
8,8.0,82.71920000000004
9,9.0,76.0869
10,10.0,64.77900000000001
11,11.0,51.694700000000005
12,12.0,38.185599999999994
13,13.0,26.6659
14,14.0,18.4435
15,15.0,12.698899999999998
16,16.0,11.257200000000003
17,17.0,10.0199
18,18.0,10.099499999999999
19,19.0,9.953199999999999
20,20.0,9.9537
21,21.0,9.929900000000002
22,22.0,9.982000000000001
23,23.0,10.016000000000002
24,24.0,10.050400000000002
