,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.68279999999996
2,2.0,90.66089999999997
3,3.0,90.64479999999999
4,4.0,90.6538
5,5.0,90.63349999999998
6,6.0,90.67230000000004
7,7.0,90.6648
8,8.0,90.59729999999996
9,9.0,90.42919999999995
10,10.0,90.15689999999995
11,11.0,89.81459999999998
12,12.0,88.92190000000001
13,13.0,87.3735
14,14.0,85.275
15,15.0,81.06710000000002
16,16.0,75.34
17,17.0,66.71809999999998
18,18.0,54.47969999999997
19,19.0,43.37649999999999
20,20.0,33.00710000000001
21,21.0,25.829500000000007
22,22.0,20.959400000000006
23,23.0,17.5393
