,Time,error_pat,des_pat,Acc.
0,0,01,11,92.85999999999994
1,1,01,11,91.82129999999995
2,2,01,11,82.04440000000002
3,3,01,11,29.294199999999993
4,4,01,11,11.863199999999997
5,5,01,11,10.0214
6,6,01,11,10.0187
7,7,01,11,10.0
8,8,01,11,10.0
9,9,01,11,10.0
10,10,01,11,10.0
11,11,01,11,10.0
12,12,01,11,10.0
13,13,01,11,10.0
14,14,01,11,10.0
15,15,01,11,10.0
16,16,01,11,10.0
17,17,01,11,10.0
18,18,01,11,10.0
19,19,01,11,10.0
20,20,01,11,10.0
21,21,01,11,10.0
22,22,01,11,10.0
23,23,01,11,10.0
24,24,01,11,10.0
