,Time,Acc.
0,0.0,93.76000000000016
1,1.0,93.75870000000006
2,2.0,93.74789999999996
3,3.0,93.71830000000001
4,4.0,93.63610000000003
5,5.0,93.52850000000002
6,6.0,93.43279999999999
7,7.0,93.09299999999996
8,8.0,92.67949999999999
9,9.0,92.10460000000005
10,10.0,91.55739999999997
11,11.0,90.18890000000003
12,12.0,88.1381
13,13.0,85.30660000000003
14,14.0,80.95059999999998
15,15.0,75.3322
16,16.0,64.1818
17,17.0,52.54489999999999
18,18.0,38.90030000000001
19,19.0,27.202799999999996
20,20.0,20.109399999999997
21,21.0,15.067300000000003
22,22.0,12.6285
23,23.0,11.354800000000001
24,24.0,10.863099999999998
