,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.64020000000001
2,2.0,90.71039999999992
3,3.0,90.75519999999999
4,4.0,90.79689999999995
5,5.0,90.56560000000003
6,6.0,89.78460000000004
7,7.0,87.51919999999998
8,8.0,82.7251
9,9.0,72.1008
10,10.0,54.45259999999998
11,11.0,35.407700000000006
12,12.0,22.006399999999996
13,13.0,15.427400000000004
14,14.0,12.455500000000002
15,15.0,11.023599999999998
16,16.0,10.572599999999998
17,17.0,10.644400000000003
18,18.0,10.7569
19,19.0,10.933400000000004
20,20.0,11.120899999999999
21,21.0,12.034400000000005
22,22.0,12.020199999999999
23,23.0,11.706700000000005
24,24.0,10.934599999999996
