,Time,error_pat,des_pat,Acc.
0,0,10,00,92.85999999999994
1,1,10,00,92.66949999999997
2,2,10,00,91.8031
3,3,10,00,89.69569999999997
4,4,10,00,83.5099
5,5,10,00,69.91070000000002
6,6,10,00,42.054300000000005
7,7,10,00,18.554200000000005
8,8,10,00,11.284199999999998
9,9,10,00,10.0237
10,10,10,00,10.066799999999999
11,11,10,00,10.0
12,12,10,00,10.0129
13,13,10,00,10.0299
14,14,10,00,10.0001
15,15,10,00,9.9894
16,16,10,00,10.0
17,17,10,00,10.0467
18,18,10,00,9.9941
19,19,10,00,10.026
20,20,10,00,10.0107
21,21,10,00,9.934199999999999
22,22,10,00,10.0137
23,23,10,00,9.9571
24,24,10,00,10.018699999999999
