,Time,error_pat,des_pat,Acc.
0,0,10,01,92.72999999999976
1,1,10,01,9.780100000000003
2,2,10,01,9.966599999999998
3,3,10,01,10.0
4,4,10,01,10.0
5,5,10,01,10.0
6,6,10,01,10.0
7,7,10,01,10.0
8,8,10,01,10.0
9,9,10,01,10.0
10,10,10,01,10.0
11,11,10,01,10.0
12,12,10,01,10.0
13,13,10,01,10.0
14,14,10,01,10.0
15,15,10,01,10.0
16,16,10,01,10.0
17,17,10,01,10.0
18,18,10,01,10.0001
19,19,10,01,10.0
20,20,10,01,10.000599999999999
21,21,10,01,10.000499999999999
22,22,10,01,10.001999999999999
23,23,10,01,10.001699999999998
24,24,10,01,10.002199999999998
