,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.64460000000001
2,2.0,90.6792
3,3.0,90.74160000000002
4,4.0,90.77929999999998
5,5.0,90.80220000000003
6,6.0,90.42419999999998
7,7.0,89.45109999999998
8,8.0,87.17669999999998
9,9.0,82.4514
10,10.0,74.00590000000001
11,11.0,59.51040000000003
12,12.0,41.59090000000001
13,13.0,27.259599999999992
14,14.0,18.428400000000003
15,15.0,14.370899999999997
16,16.0,12.107399999999998
17,17.0,11.188300000000002
18,18.0,10.750599999999997
19,19.0,10.4554
20,20.0,10.845400000000001
21,21.0,10.960799999999997
22,22.0,10.8173
23,23.0,11.188899999999999
24,24.0,11.118799999999998
