,Time,error_pat,des_pat,Acc.
0,0,00,10,92.85999999999994
1,1,00,10,92.7743
2,2,00,10,92.15099999999997
3,3,00,10,90.2418
4,4,00,10,86.45609999999996
5,5,00,10,82.78269999999996
6,6,00,10,71.3044
7,7,00,10,51.764799999999966
8,8,00,10,12.810100000000002
9,9,00,10,9.9558
10,10,00,10,10.000399999999999
11,11,00,10,10.0
12,12,00,10,10.0
13,13,00,10,10.0
14,14,00,10,10.0
15,15,00,10,10.0
16,16,00,10,10.0
17,17,00,10,10.0
18,18,00,10,10.0
19,19,00,10,10.0
20,20,00,10,10.0
21,21,00,10,10.0
22,22,00,10,10.0
23,23,00,10,10.0
24,24,00,10,10.0
