,Time,Acc.
0,0.0,92.82999999999994
1,1.0,92.84799999999997
2,2.0,92.74420000000002
3,3.0,92.58079999999997
4,4.0,92.32300000000001
5,5.0,91.82059999999996
6,6.0,90.93790000000001
7,7.0,89.35879999999997
8,8.0,86.09829999999998
9,9.0,81.19349999999997
10,10.0,70.94310000000002
11,11.0,54.16549999999998
12,12.0,19.862799999999993
13,13.0,9.892400000000002
14,14.0,10.000499999999999
15,15.0,10.0
16,16.0,10.0
17,17.0,10.0
18,18.0,10.0
19,19.0,10.0
20,20.0,10.0
21,21.0,10.0
22,22.0,10.0
23,23.0,10.0
24,24.0,10.0
