,Time,error_pat,des_pat,Acc.
0,0,10,01,92.85999999999994
1,1,10,01,92.78060000000004
2,2,10,01,92.53399999999998
3,3,10,01,92.03420000000004
4,4,10,01,90.92169999999996
5,5,10,01,88.31849999999997
6,6,10,01,82.91320000000002
7,7,10,01,67.97639999999997
8,8,10,01,42.48429999999999
9,9,10,01,21.146600000000003
10,10,10,01,12.370800000000001
11,11,10,01,10.078899999999999
12,12,10,01,10.1169
13,13,10,01,10.065
14,14,10,01,10.041199999999998
15,15,10,01,10.113
16,16,10,01,10.0429
17,17,10,01,10.080499999999999
18,18,10,01,10.0
19,19,10,01,10.0
20,20,10,01,10.039299999999999
21,21,10,01,9.987400000000001
22,22,10,01,10.0478
23,23,10,01,10.0
24,24,10,01,9.9572
