,Time,error_pat,des_pat,Acc.
0,0,11,01,92.72999999999976
1,1,11,01,92.75160000000001
2,2,11,01,92.35900000000001
3,3,11,01,91.76719999999999
4,4,11,01,90.79209999999998
5,5,11,01,89.23010000000002
6,6,11,01,85.8505
7,7,11,01,81.3974
8,8,11,01,73.81540000000003
9,9,11,01,62.411499999999975
10,10,11,01,45.389800000000015
11,11,11,01,27.950799999999987
12,12,11,01,16.430000000000003
13,13,11,01,11.2562
14,14,11,01,10.930600000000002
15,15,11,01,10.3302
16,16,11,01,10.0636
17,17,11,01,10.1145
18,18,11,01,10.013
19,19,11,01,10.0
20,20,11,01,10.0
21,21,11,01,10.0
22,22,11,01,10.0
23,23,11,01,10.0
24,24,11,01,10.0
