,Time,error_pat,des_pat,Acc.
0,0,00,01,92.72999999999976
1,1,00,01,9.756300000000001
2,2,00,01,9.814099999999998
3,3,00,01,10.0
4,4,00,01,10.0
5,5,00,01,10.0
6,6,00,01,10.0
7,7,00,01,10.0
8,8,00,01,10.0
9,9,00,01,10.0
10,10,00,01,10.0
11,11,00,01,10.0
12,12,00,01,10.0
13,13,00,01,10.0
14,14,00,01,10.0
15,15,00,01,10.0
16,16,00,01,10.0
17,17,00,01,10.0
18,18,00,01,10.0
19,19,00,01,9.9999
20,20,00,01,9.999500000000001
21,21,00,01,10.001
22,22,00,01,9.999400000000001
23,23,00,01,10.000500000000002
24,24,00,01,9.998400000000002
