,Time,error_pat,des_pat,Acc.
0,0,01,00,90.68000000000012
1,1,01,00,90.6768
2,2,01,00,90.77900000000001
3,3,01,00,89.96629999999999
4,4,01,00,86.1926
5,5,01,00,74.3796
6,6,01,00,47.42710000000001
7,7,01,00,24.9655
8,8,01,00,13.534299999999996
9,9,01,00,11.354799999999997
10,10,01,00,10.880100000000002
11,11,01,00,10.353
12,12,01,00,9.732799999999997
13,13,01,00,9.211000000000002
14,14,01,00,11.0065
15,15,01,00,11.5326
16,16,01,00,11.363200000000004
17,17,01,00,12.394300000000001
18,18,01,00,11.738499999999997
19,19,01,00,11.247400000000003
20,20,01,00,10.8019
21,21,01,00,10.4424
22,22,01,00,10.3643
23,23,01,00,10.205999999999994
24,24,01,00,10.182599999999999
