,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.6415
2,2.0,90.68219999999998
3,3.0,90.71239999999995
4,4.0,90.79099999999998
5,5.0,90.67779999999999
6,6.0,89.98829999999998
7,7.0,88.21869999999998
8,8.0,84.53859999999993
9,9.0,77.0667
10,10.0,61.44220000000002
11,11.0,41.13920000000002
12,12.0,24.362500000000008
13,13.0,16.986200000000004
14,14.0,14.099700000000002
15,15.0,12.237499999999994
16,16.0,11.341099999999999
17,17.0,11.264199999999999
18,18.0,10.700399999999997
19,19.0,10.3671
20,20.0,9.986599999999997
21,21.0,9.757800000000001
22,22.0,9.371300000000003
23,23.0,8.948300000000001
24,24.0,9.748700000000001
