,Time,error_pat,des_pat,Acc.
0,0,10,01,90.68000000000012
1,1,10,01,90.62939999999998
2,2,10,01,90.5641
3,3,10,01,90.296
4,4,10,01,88.94709999999999
5,5,10,01,85.61309999999999
6,6,10,01,76.01069999999999
7,7,10,01,52.774700000000024
8,8,10,01,23.786500000000014
9,9,10,01,14.1195
10,10,10,01,10.4938
11,11,10,01,9.947499999999998
12,12,10,01,10.0
13,13,10,01,10.0
14,14,10,01,10.0
15,15,10,01,10.0
16,16,10,01,10.0
17,17,10,01,10.0
18,18,10,01,10.0
19,19,10,01,10.0
20,20,10,01,10.0
21,21,10,01,9.9986
22,22,10,01,10.002500000000001
23,23,10,01,9.9968
24,24,10,01,9.9993
