,Time,Acc.
0,0.0,92.72999999999976
1,1.0,92.74249999999996
2,2.0,92.74920000000002
3,3.0,92.68090000000002
4,4.0,92.61730000000001
5,5.0,92.43809999999999
6,6.0,92.11850000000003
7,7.0,91.69430000000003
8,8.0,91.28680000000004
9,9.0,90.48189999999998
10,10.0,89.7221
11,11.0,88.06
12,12.0,87.1675
13,13.0,84.78300000000002
14,14.0,81.6568
15,15.0,77.83160000000001
16,16.0,72.68969999999996
17,17.0,68.25900000000006
18,18.0,61.542600000000036
19,19.0,54.72219999999999
20,20.0,48.52270000000001
21,21.0,41.139599999999994
22,22.0,34.85880000000001
23,23.0,26.448399999999992
24,24.0,24.0727
