,Time,error_pat,des_pat,Acc.
0,0,01,10,92.85999999999994
1,1,01,10,92.61370000000002
2,2,01,10,91.11269999999999
3,3,01,10,84.09290000000001
4,4,01,10,54.33499999999998
5,5,01,10,15.597999999999995
6,6,01,10,11.067799999999998
7,7,01,10,10.0299
8,8,01,10,10.0
9,9,01,10,10.0
10,10,01,10,10.0
11,11,01,10,10.0
12,12,01,10,10.0
13,13,01,10,10.0
14,14,01,10,10.0
15,15,01,10,10.0
16,16,01,10,10.0
17,17,01,10,10.0
18,18,01,10,10.0
19,19,01,10,10.0
20,20,01,10,10.0
21,21,01,10,10.0
22,22,01,10,10.0
23,23,01,10,10.0
24,24,01,10,10.0
