,Time,error_pat,des_pat,Acc.
0,0,00,10,90.68999999999988
1,1,00,10,90.4804
2,2,00,10,89.53959999999998
3,3,00,10,87.89299999999996
4,4,00,10,84.80770000000003
5,5,00,10,78.2617
6,6,00,10,66.89220000000002
7,7,00,10,48.793899999999965
8,8,00,10,28.991100000000007
9,9,00,10,17.5037
10,10,00,10,12.661599999999998
11,11,00,10,10.6096
12,12,00,10,10.2618
13,13,00,10,10.209200000000003
14,14,00,10,10.2338
15,15,00,10,10.074000000000002
16,16,00,10,10.264199999999999
17,17,00,10,10.099200000000003
18,18,00,10,10.128800000000005
19,19,00,10,9.981400000000002
20,20,00,10,10.266900000000003
21,21,00,10,9.938099999999995
22,22,00,10,10.103499999999999
23,23,00,10,10.071900000000001
24,24,00,10,9.993099999999998
