,Time,error_pat,des_pat,Acc.
0,0,00,01,92.85999999999994
1,1,00,01,92.84330000000006
2,2,00,01,92.70570000000002
3,3,00,01,92.46300000000005
4,4,00,01,92.02300000000002
5,5,00,01,90.9831
6,6,00,01,90.0869
7,7,00,01,87.35439999999998
8,8,00,01,82.01250000000003
9,9,00,01,73.7436
10,10,00,01,29.254000000000005
11,11,00,01,10.099300000000001
12,12,00,01,9.980200000000002
13,13,00,01,9.9941
14,14,00,01,10.0
15,15,00,01,10.0
16,16,00,01,10.0
17,17,00,01,10.0
18,18,00,01,10.0
19,19,00,01,10.0
20,20,00,01,10.0
21,21,00,01,10.0
22,22,00,01,10.0
23,23,00,01,10.0
24,24,00,01,10.0
