,Time,Acc.
0,0.0,90.68000000000012
1,1.0,90.65190000000003
2,2.0,90.7034
3,3.0,90.4003
4,4.0,89.00890000000001
5,5.0,84.00579999999998
6,6.0,71.85320000000003
7,7.0,46.505800000000015
8,8.0,24.76880000000001
9,9.0,15.083200000000003
10,10.0,11.331799999999996
11,11.0,10.624299999999998
12,12.0,10.720800000000002
13,13.0,11.1206
14,14.0,10.318000000000001
15,15.0,10.4021
16,16.0,10.593800000000002
17,17.0,9.695599999999999
18,18.0,9.551499999999999
19,19.0,9.707600000000003
20,20.0,9.836900000000004
21,21.0,9.898800000000001
22,22.0,9.922200000000007
23,23.0,9.950600000000007
24,24.0,9.961400000000008
